Neighborhood Name,Geo Entity ID,Poverty - Rank 2011-15,Pre-1950 Homes - Percent 2011-15,Race and Ethnicity (ICE 2) - Percent Black 2011-15,Race and Ethnicity (ICE 2) - Percent Asian 2011-15,Rent Burdened Households - Percent 2012-16,Race and Ethnicity (ICE 2) - Percent White 2011-15,Race and Ethnicity (ICE 2) - ICE 2011-15,Poverty - Percent 2012-16
Brooklyn: Flatbush,4742,2,67.9,46.5,10.1,55.5,22.9,-0.1,19.7
Brooklyn: Flatlands,4758,1,53.7,71.6,4.2,48.7,15.3,-0.1,11.0
Brooklyn: Fort Greene,4768,3,57.3,36.1,9.9,39.6,28.2,0.0,23.6
Brooklyn: Georgetown-Marine Park-Bergen Beach-Mill Basin,4745,1,40.4,12.6,7.6,53.4,67.0,0.3,6.6
Brooklyn: Gravesend,4726,3,39.9,9.2,24.1,52.6,51.4,0.0,21.5
Brooklyn: Greenpoint,4776,1,71.9,1.8,5.0,44.4,78.1,0.3,12.3
Brooklyn: Homecrest,4725,2,56.1,1.0,11.5,53.9,77.0,0.2,19.2
Brooklyn: Kensington-Ocean Parkway,4741,3,61.5,6.5,22.2,57.1,50.7,0.0,24.9
Brooklyn: Madison,4744,2,70.9,1.1,23.4,54.7,66.4,0.2,14.4
Brooklyn: Midwood,4743,3,68.0,4.2,11.2,59.1,75.1,0.1,23.7
Brooklyn: North Side-South Side,4773,2,50.1,2.7,6.7,45.1,53.4,0.2,19.7
Brooklyn: Ocean Hill,4779,3,50.6,74.7,1.6,59.2,3.2,-0.4,29.2
Brooklyn: Ocean Parkway South,4746,2,61.2,0.9,4.5,60.3,82.7,0.2,18.9
Brooklyn: Park Slope-Gowanus,4737,1,79.9,4.9,7.2,37.0,65.6,0.4,7.3
Brooklyn: Prospect Heights,4764,1,80.7,27.1,8.0,42.6,48.9,0.2,11.3
Brooklyn: Prospect Lefferts Gardens-Wingate,4760,2,75.1,71.9,2.3,54.5,13.1,-0.2,21.5
Brooklyn: Rugby-Remsen Village,4796,2,66.3,90.2,0.9,56.1,1.6,-0.3,18.8
Brooklyn: Seagate-Coney Island,4721,3,24.4,30.5,10.8,51.7,31.4,-0.2,32.1
Brooklyn: Sheepshead Bay-Gerritsen Beach-Manhattan Beach,4717,2,41.9,6.9,15.8,51.8,67.7,0.1,16.1
Brooklyn: Starrett City,4793,3,5.5,50.5,2.8,51.8,25.0,-0.2,31.1
Brooklyn: Stuyvesant Heights,4735,3,69.1,68.5,2.3,52.8,8.0,-0.3,28.7
Brooklyn: Sunset Park East,4734,3,75.3,1.5,51.8,62.8,13.2,-0.2,35.6
Brooklyn: Sunset Park West,4732,3,72.6,3.1,14.6,58.0,15.8,-0.1,29.7
Brooklyn: West Brighton,4723,2,10.9,0.6,0.8,55.0,95.5,0.2,15.7
Brooklyn: Williamsburg,4772,3,45.6,3.4,0.4,62.9,87.2,0.0,53.5
Brooklyn: Windsor Terrace,4740,1,67.9,5.0,10.9,38.4,66.0,0.3,8.5
Manhattan: Battery Park City-Lower Manhattan,6125,1,31.7,2.7,20.4,36.9,65.3,0.4,8.0
Manhattan: Central Harlem North-Polo Grounds,6103,3,40.9,61.5,2.1,49.4,8.7,-0.3,29.6
Manhattan: Central Harlem South,6111,3,53.2,53.1,4.8,44.6,19.3,-0.2,27.2
Manhattan: Chinatown,6127,3,63.2,4.8,59.9,52.2,17.2,-0.2,26.7
Manhattan: Clinton,6115,1,39.7,5.5,14.9,45.3,55.5,0.3,12.6
Manhattan: East Harlem North,6134,3,35.5,34.2,5.3,46.5,7.9,-0.3,38.0
Manhattan: East Harlem South,6133,3,29.9,24.3,9.8,48.7,20.1,-0.2,27.9
Manhattan: East Village,6122,2,70.2,4.8,14.1,44.6,68.1,0.3,16.4
Manhattan: Gramercy,6121,1,36.6,4.5,14.3,36.3,71.0,0.4,8.3
Manhattan: Hamilton Heights,6104,3,82.7,29.7,3.1,52.1,15.0,-0.2,25.4
Manhattan: Hudson Yards-Chelsea-Flatiron-Union Square,6113,2,46.3,6.3,14.0,38.0,62.9,0.4,12.6
Manhattan: Lenox Hill-Roosevelt Island,6131,1,31.9,4.2,11.9,41.8,73.3,0.4,7.5
Manhattan: Lincoln Square,6114,1,39.1,2.7,10.7,36.9,74.2,0.5,7.7
Manhattan: Lower East Side,6128,3,36.8,11.2,25.3,47.0,20.4,-0.2,30.2
Manhattan: Manhattanville,6106,3,60.2,30.9,3.0,58.4,9.8,-0.4,32.5
Manhattan: Marble Hill-Inwood,6101,3,72.0,6.7,1.9,50.4,14.5,-0.1,26.3
